カテゴリ,No,チェック項目,ステータス,今回の修正,備考
1. トップページ → 登録開始,1-1,未ログイン時「出店者として登録」ボタンが表示される,,,,
1. トップページ → 登録開始,1-2,ログイン済み時「マイページ」ボタンに切り替わる,,○,
1. トップページ → 登録開始,1-3,ヘッダーに「無料会員登録」ボタンが表示される（未ログイン時）,,,
1. トップページ → 登録開始,1-4,ヘッダーにアバターアイコン＋ドロップダウンが表示される（ログイン時）,,,
2. 会員登録 /register,2-1,ユーザータイプ選択画面：「出店者」と「スペースオーナー」が選べる,,,
2. 会員登録 /register,2-2,?type=vendor パラメータで出店者が事前選択される,,,
2. 会員登録 /register,2-3,名前・メール・パスワード（8文字以上）・確認入力ができる,,,
2. 会員登録 /register,2-4,利用規約チェックボックスが必須になっている,,,
2. 会員登録 /register,2-5,メール/パスワードでの登録ができる,,,
2. 会員登録 /register,2-6,Google OAuthでの登録ができる,,,
2. 会員登録 /register,2-7,LINE OAuthでの登録ができる,,,
3. メール認証 /verify-email,3-1,登録後 /verify-email/pending にリダイレクトされる,,,
3. メール認証 /verify-email,3-2,メールアドレスが画面上に表示される,,,
3. メール認証 /verify-email,3-3,「認証メールを再送信」ボタンが動作する（60秒レート制限）,,,
3. メール認証 /verify-email,3-4,メール内リンクをクリックして認証が完了する,,,
4. プロフィール設定 /profile/edit,4-1,OAuth登録時は直接この画面にリダイレクトされる,,,
4. プロフィール設定 /profile/edit,4-2,プロフィール画像のアップロード（5MB以内 JPEG/PNG/WebP/GIF）,,,
4. プロフィール設定 /profile/edit,4-3,表示名（必須）の入力ができる,,,
4. プロフィール設定 /profile/edit,4-4,自己紹介（300文字目安）の入力ができる,,,
4. プロフィール設定 /profile/edit,4-5,SNSリンク（Web/Instagram/X）の入力ができる,,,
4. プロフィール設定 /profile/edit,4-6,保存成功後「店舗を登録する」ボタンが表示される（vendorの場合）,,,
5. 店舗登録 /stores/new,5-1,vendorロールでないとアクセスできない,,,
5. 店舗登録 /stores/new,5-2,基本情報：店名・説明・カテゴリ・エリアが入力できる,,,
5. 店舗登録 /stores/new,5-3,SNS：ウェブサイト・Instagram・Twitterが入力できる,,,
5. 店舗登録 /stores/new,5-4,詳細：オーナー紹介・おすすめ商品・こだわり等が入力できる,,,
5. 店舗登録 /stores/new,5-5,タグの複数選択ができる,,,
5. 店舗登録 /stores/new,5-6,出店可能エリアの複数選択ができる,,,
5. 店舗登録 /stores/new,5-7,画像の複数アップロードができる,,,
5. 店舗登録 /stores/new,5-8,登録成功後マイページへ遷移できる,,,
6. マイページ /mypage,6-1,メール未認証の場合 認証バナーが表示される,,,
6. マイページ /mypage,6-2,プロフィール画像・表示名・認証バッジが正しく表示される,,,
6. マイページ /mypage,6-3,vendorの場合「マイ店舗」タブに登録した店舗が表示される,,,
6. マイページ /mypage,6-4,お気に入り・メッセージ・予約・レビュー・チェックインのタブが表示される,,,
6. マイページ /mypage,6-5,各設定リンク（プロフィール編集・アカウント連携・通知設定等）が動作する,,,
7. ヘッダーナビ（ログイン状態）,7-1,アバタードロップダウンに「マイページ」リンクがある,,,
7. ヘッダーナビ（ログイン状態）,7-2,ドロップダウンに「プロフィール編集」リンクがある,,,
7. ヘッダーナビ（ログイン状態）,7-3,ドロップダウンに「メッセージ」リンクがある,,,
7. ヘッダーナビ（ログイン状態）,7-4,検索・メッセージ・通知ベルのアイコンが表示される,,,
7. ヘッダーナビ（ログイン状態）,7-5,ログアウトが正常に動作する,,,
8. キッチンカー詳細 /store/[id],8-1,お気に入りボタンが表示される（モバイル・サイドバー両方）,,○,
8. キッチンカー詳細 /store/[id],8-2,未ログインでタップ → ログインページへリダイレクト,,○,
8. キッチンカー詳細 /store/[id],8-3,ログイン済みでタップ → お気に入りに追加（ハート赤色に変化）,,○,
8. キッチンカー詳細 /store/[id],8-4,再度タップ → お気に入りから削除,,○,
8. キッチンカー詳細 /store/[id],8-5,ページ再読み込み後もお気に入り状態が維持される,,○,
